Recipient Name,Recipient DBA,File Number,Recipient Address,Recipient City,Recipient State,Recipient Zip,Recipient County,Recipient EIN,Grant Description,Fiscal Year Awarded,Award Amount,Grant Dureation in Years,Recipient Phone,Grant Subject 1,Grant Subject 2,Grant Subject 3,Support Strategy 1,Support Code Rollup 1,Support Strategy 2,Support Code Rollup2,Support Strategy 3,Support Code Rollup 3,Geographic Areas Served by Grant    ,Populations Served by Grant,transaction_type,Award Type,Initiative Name,Portfolio,Org Mission Statement
Health Care Coalition of Southern Oregon,,16050260,PO Box 1419,Medford,OR,97501,Jackson,93-1065133,To support health education and policy projects to advance health equity in Douglas and Josephine counties,2017 ,"$200,000 ",three years,5417748095,SE050100 - Health Care Clinics,,,UA0000 - General Support,Operating Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,"2001711, 2001713, 2001706","PG010000, PG030200, PC010000, PE000000",TA00 - Cash Grants,Grant,,Building Community,"To advance Health Equity through key partnerships with public health agencies, community health centers, and other community groups."
Hispanic Metropolitan Chamber of Commerce,,16050293,PO Box 1837,Portland,OR,97207,Multnomah,93-1156358,To support new leadership at this agency that provides crucial services to improve economic advancement and lessen educational gaps experienced within metropolitan Portland's Latino community,2017 ,"$35,000 ",one year,5032220280,SN000000 - Community And Economic Development,,,UD0100 - Technical Assistance,Capacity Building,,,,,"1002270, 1002994, 1002699",PE050000,TA00 - Cash Grants,Grant,,Building Community,"The Hispanic Metropolitan Chamber works to advance Latino economic and community vitality through business development, leadership, education, and advocacy"
HomePlate Youth Services,,16050399,P.O. Box 1413,Beaverton,OR,97075,Washington,26-1666325,To increase volunteer and staff face time with youths by strengthening operational efficiencies of the only agency in Washington County serving youths marginalized by homelessness,2017 ,"$40,000 ",two years,5038677762,SS050100 - Youth Services,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,1002994,"PA010000, PG030100, PG030000",TA00 - Cash Grants,Grant,,Building Community,"HomePlate supports the positive development of young people experiencing homelessness or housing instability through community building, education, access to services and resources, and youth empowerment."
ILG Innovation Law Lab,,17021215,PO Box 40103,Portland,OR,97240,Multnomah,47-1012852,To establish the Center of Excellence in Oregon to defend immigrant rights,2017 ,"$40,000 ",one year,5032410035,SJ040000 - Legal Services,,,UN0200 - Program Creation,Project Support,,,,,7007708,"PG010000, PG030200",TA00 - Cash Grants,Grant,,Building Community,"The Innovation Law Lab was founded to bring new technology to the legal fight for justice. We envision a world where every case that should win, does win, every time, everywhere."
Immigration Counseling Service,,16050562,519 SW Park Avenue - Ste 610,Portland,OR,97205,Multnomah,93-0696480,For technical assistance to assure the long-term stability of this agency,2017 ,"$15,000 ",one year,5032211689,SS090300 - Immigrant Services,SR000000 - Human Rights,SJ040000 - Legal Services,UD0100 - Technical Assistance,Capacity Building,,,,,"2001722, 2001721, 1002891, 2001712, 2001710, 2001723, 2001719","PC010000, PA030000, PG030000, PG010000, PG060100",TA00 - Cash Grants,Grant,,Building Community,ICS believes everyone has a right to reputable legal counsel and representation.  Our non-profit law firm is dedicated to improving the lives of Oregon's immigrant communities through access to affordable legal services and educational forums.
Immigration Counseling Service,,16050562,519 SW Park Avenue - Ste 610,Portland,OR,97205,Multnomah,93-0696480,"To support a range of affordable immigration legal services for individuals and families in the Mid-Columbia Gorge region, including aid for foreign-born victims of sex-trafficking",2017 ,"$115,000 ",three years,5032211689,SJ040000 - Legal Services,SS090300 - Immigrant Services,SR000000 - Human Rights,UN0000 - Program Development,Project Support,,,,,"2001708, 2001712, 2001707, 2001705, 2001703, 2001719, 1002990, 2001721, 2001710, 2001722, 2001723, 2001720, 7013349, 1002891","PG060100, PG030200, PC010000, PA030000, PG010000",TA00 - Cash Grants,Grant,,Building Community,ICS believes everyone has a right to reputable legal counsel and representation.  Our non-profit law firm is dedicated to improving the lives of Oregon's immigrant communities through access to affordable legal services and educational forums.
"IRCO, Africa House",,16060759,10301 NE Glisan Street,Portland,OR,97220,Multnomah,93-0806295,To support the African Leadership Development Project,2017 ,"$10,250 ",one year,5032341541,SK020000 - Leadership Development,SS090300 - Immigrant Services,,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,,"PE030100, PG010000",TA00 - Cash Grants,Grant,,Building Community,"The mission of the Immigrant and Refugee Community Organization (IRCO) is to promote the integration of refugees, immigrants, and the community at large into a self-sufficient, healthy, and inclusive multiethnic society.

The Africa House Refugee Community Center serves as a focal point for the community and a ""one stop"" service center providing an array of community building and cultural adjustment services for over 200 African refugees and their families annually."
"IRCO, Africa House",,16120900,10301 NE Glisan Street,Portland,OR,97220,Multnomah,93-0806295,To continue develop new opportunities for graduates and institutional partners through a mentorship program,2017 ,"$85,000 ",one year,5032341541,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,UE0400 - Management And Leadership Development,Capacity Building,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,1002699,"PE030000, PG010000",TA00 - Cash Grants,Grant,,Building Community,"The mission of the Immigrant and Refugee Community Organization (IRCO) is to promote the integration of refugees, immigrants, and the community at large into a self-sufficient, healthy, and inclusive multiethnic society.

The Africa House Refugee Community Center serves as a focal point for the community and a ""one stop"" service center providing an array of community building and cultural adjustment services for over 200 African refugees and their families annually."
"IRCO, Asian Family Center",,16060758,10301 NE Glisan Street,Portland,OR,97220,Multnomah,93-0806295,To support the Asian Pacific Islander Community Leadership program,2017 ,"$62,500 ",one year,5032341541,SK020000 - Leadership Development,SS090300 - Immigrant Services,,UN0000 - Program Development,Project Support,,,,,,PE020000,TA00 - Cash Grants,Grant,,Building Community,"The mission of the Immigrant and Refugee Community Organization (IRCO) is to promote the integration of refugees, immigrants, and the community at large into a self-sufficient, healthy, and inclusive multiethnic society."
"IRCO, Asian Family Center",,16120901,10301 NE Glisan Street,Portland,OR,97220,Multnomah,93-0806295,To develop a senior fellows program through the Asian Pacific Islander Community Leadership Institute,2017 ,"$85,000 ",one year,5032341541,SK020000 - Leadership Development,,,UE0400 - Management And Leadership Development,Capacity Building,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,7014273,PE020000,TA00 - Cash Grants,Grant,,Building Community,"The mission of the Immigrant and Refugee Community Organization (IRCO) is to promote the integration of refugees, immigrants, and the community at large into a self-sufficient, healthy, and inclusive multiethnic society."
"IRCO, Slavic Network of Oregon",,16060760,10301 NE Glisan Street,Portland,OR,97220,Multnomah,93-0806295,To support the Slavic Coalition Leadership Development Project,2017 ,"$56,250 ",one year,5032341541,SK020000 - Leadership Development,SS090300 - Immigrant Services,,UN0000 - Program Development,Project Support,,,,,,"PE040100, PG010000",TA00 - Cash Grants,Grant,,Building Community,"The mission of the Immigrant and Refugee Community Organization (IRCO) is to promote the integration of refugees, immigrants, and the community at large into a self-sufficient, healthy, and inclusive multiethnic society."
"IRCO, Slavic Network of Oregon",,16120902,10301 NE Glisan Street,Portland,OR,97220,Multnomah,93-0806295,To engage Slavic leadership graduates in experiential learning to gain advocacy skills,2017 ,"$81,500 ",one year,5032341541,SK020000 - Leadership Development,,,UE0400 - Management And Leadership Development,Capacity Building,UN0000 - Program Development,Project Support,UK0100 - Advocacy,Project Support,7014273,PE040100,TA00 - Cash Grants,Grant,,Building Community,"The mission of the Immigrant and Refugee Community Organization (IRCO) is to promote the integration of refugees, immigrants, and the community at large into a self-sufficient, healthy, and inclusive multiethnic society."
Latino Network,,17021212,410 NE 18th Ave,Portland,OR,97232,Multnomah,73-1675402,For participation in the Meyer Leadership Development Learning Collaborative,2017 ,"$10,000 ",one year,5032836881153,SK020000 - Leadership Development,,,UJ0000 - Network Building And Collaboration,Project Support,UJ0100 - Convening,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,7007708,PE050000,TA00 - Cash Grants,Grant,,Building Community,"Latino Network's mission is to positively transform the lives of Latino youth, families, and communities."
